run_id,pair_id,seed,powertrain,origin_network,source_platform_left,source_platform_right,source_directory_left,source_directory_right,source_tarball_left,source_tarball_right,primary_co2,mirror_co2,co2_delta_pct,primary_charge_stops,mirror_charge_stops,primary_trip_h,mirror_trip_h,codespace_or_backup_involved,mismatch_class
ANALYSIS_CORE_bev_dry_factory_set_stochastic_974006,ANALYSIS_CORE_bev_seed_974006,974006,bev,dry_factory_set,local,local,reruns_bev_fix,local_backup,bev_extra_seed974000.tar.gz,local_run_bundles_backup.tar.gz,2967.31067595688,3135.56797486095,5.37,19,19,78.5705,86.4539,TRUE,mirror_snapshot_mismatch
ANALYSIS_CORE_bev_dry_factory_set_stochastic_974007,ANALYSIS_CORE_bev_seed_974007,974007,bev,dry_factory_set,local,local,reruns_bev_fix,local_backup,bev_extra_seed974000.tar.gz,local_run_bundles_backup.tar.gz,947.815347636489,1040.53064171204,8.91,15,16,92.0047,117.4964,TRUE,mirror_snapshot_mismatch
ANALYSIS_CORE_bev_dry_factory_set_stochastic_974008,ANALYSIS_CORE_bev_seed_974008,974008,bev,dry_factory_set,local,local,reruns_bev_fix,local_backup,bev_extra_seed974000.tar.gz,local_run_bundles_backup.tar.gz,2368.6782413714,2504.47971409869,5.42,19,20,81.2184,96.1839,TRUE,mirror_snapshot_mismatch
ANALYSIS_CORE_bev_dry_factory_set_stochastic_974009,ANALYSIS_CORE_bev_seed_974009,974009,bev,dry_factory_set,local,local,reruns_bev_fix,local_backup,bev_extra_seed974000.tar.gz,local_run_bundles_backup.tar.gz,1850.25474442132,2052.58031924783,9.86,15,16,98.0397,132.2471,TRUE,mirror_snapshot_mismatch
ANALYSIS_CORE_bev_dry_factory_set_stochastic_974010,ANALYSIS_CORE_bev_seed_974010,974010,bev,dry_factory_set,local,local,reruns_bev_fix,local_backup,bev_extra_seed974000.tar.gz,local_run_bundles_backup.tar.gz,2197.60437195965,2435.73513216922,9.78,19,20,83.0595,106.967,TRUE,mirror_snapshot_mismatch
ANALYSIS_CORE_bev_dry_factory_set_stochastic_975006,ANALYSIS_CORE_bev_seed_975006,975006,bev,dry_factory_set,local,local,reruns_bev_fix,local_backup,bev_extra_seed975000.tar.gz,local_run_bundles_backup.tar.gz,1004.86544086953,1117.81182381878,10.1,16,19,107.7362,79.7853,TRUE,mirror_snapshot_mismatch
ANALYSIS_CORE_bev_dry_factory_set_stochastic_975007,ANALYSIS_CORE_bev_seed_975007,975007,bev,dry_factory_set,local,local,reruns_bev_fix,local_backup,bev_extra_seed975000.tar.gz,local_run_bundles_backup.tar.gz,1740.28638577157,1999.31770648322,12.96,15,17,89.0214,117.5291,TRUE,mirror_snapshot_mismatch
ANALYSIS_CORE_bev_dry_factory_set_stochastic_975008,ANALYSIS_CORE_bev_seed_975008,975008,bev,dry_factory_set,local,local,reruns_bev_fix,local_backup,bev_extra_seed975000.tar.gz,local_run_bundles_backup.tar.gz,1360.55588841608,1522.34729795342,10.63,16,19,122.365,90.5602,TRUE,mirror_snapshot_mismatch
ANALYSIS_CORE_bev_dry_factory_set_stochastic_975009,ANALYSIS_CORE_bev_seed_975009,975009,bev,dry_factory_set,local,local,reruns_bev_fix,local_backup,bev_extra_seed975000.tar.gz,local_run_bundles_backup.tar.gz,963.232812374928,1138.74747915864,15.41,15,17,85.1857,124.6194,TRUE,mirror_snapshot_mismatch
ANALYSIS_CORE_bev_dry_factory_set_stochastic_975010,ANALYSIS_CORE_bev_seed_975010,975010,bev,dry_factory_set,local,local,reruns_bev_fix,local_backup,bev_extra_seed975000.tar.gz,local_run_bundles_backup.tar.gz,1655.70481148889,1852.23437729088,10.61,16,19,111.8865,89.7579,TRUE,mirror_snapshot_mismatch
ANALYSIS_CORE_bev_refrigerated_factory_set_stochastic_974006,ANALYSIS_CORE_bev_seed_974006,974006,bev,refrigerated_factory_set,local,local,reruns_bev_fix,local_backup,bev_extra_seed974000.tar.gz,local_run_bundles_backup.tar.gz,3073.86673477587,3248.94774865598,5.39,19,20,75.9413,79.9332,TRUE,mirror_snapshot_mismatch
ANALYSIS_CORE_bev_refrigerated_factory_set_stochastic_974007,ANALYSIS_CORE_bev_seed_974007,974007,bev,refrigerated_factory_set,local,local,reruns_bev_fix,local_backup,bev_extra_seed974000.tar.gz,local_run_bundles_backup.tar.gz,981.851375191888,1077.85137851106,8.91,15,17,74.0079,73.293,TRUE,mirror_snapshot_mismatch
ANALYSIS_CORE_bev_refrigerated_factory_set_stochastic_974008,ANALYSIS_CORE_bev_seed_974008,974008,bev,refrigerated_factory_set,local,local,reruns_bev_fix,local_backup,bev_extra_seed974000.tar.gz,local_run_bundles_backup.tar.gz,2453.73742309306,2595.28243524834,5.45,20,21,75.2737,77.8366,TRUE,mirror_snapshot_mismatch
ANALYSIS_CORE_bev_refrigerated_factory_set_stochastic_974009,ANALYSIS_CORE_bev_seed_974009,974009,bev,refrigerated_factory_set,local,local,reruns_bev_fix,local_backup,bev_extra_seed974000.tar.gz,local_run_bundles_backup.tar.gz,1916.69735017008,2127.09838273655,9.89,15,17,82.186,83.6766,TRUE,mirror_snapshot_mismatch
ANALYSIS_CORE_bev_refrigerated_factory_set_stochastic_974010,ANALYSIS_CORE_bev_seed_974010,974010,bev,refrigerated_factory_set,local,local,reruns_bev_fix,local_backup,bev_extra_seed974000.tar.gz,local_run_bundles_backup.tar.gz,2276.52029492542,2525.24193524844,9.85,20,21,75.9487,80.9565,TRUE,mirror_snapshot_mismatch
ANALYSIS_CORE_bev_refrigerated_factory_set_stochastic_975006,ANALYSIS_CORE_bev_seed_975006,975006,bev,refrigerated_factory_set,local,local,reruns_bev_fix,local_backup,bev_extra_seed975000.tar.gz,local_run_bundles_backup.tar.gz,1040.9501359741,1158.01427815718,10.11,15,19,78.0489,76.1962,TRUE,mirror_snapshot_mismatch
ANALYSIS_CORE_bev_refrigerated_factory_set_stochastic_975007,ANALYSIS_CORE_bev_seed_975007,975007,bev,refrigerated_factory_set,local,local,reruns_bev_fix,local_backup,bev_extra_seed975000.tar.gz,local_run_bundles_backup.tar.gz,1802.78003026478,2075.04567133999,13.12,15,17,75.0489,79.1071,TRUE,mirror_snapshot_mismatch
ANALYSIS_CORE_bev_refrigerated_factory_set_stochastic_975008,ANALYSIS_CORE_bev_seed_975008,975008,bev,refrigerated_factory_set,local,local,reruns_bev_fix,local_backup,bev_extra_seed975000.tar.gz,local_run_bundles_backup.tar.gz,1409.4134193943,1576.56408853045,10.6,15,20,83.1457,82.041,TRUE,mirror_snapshot_mismatch
ANALYSIS_CORE_bev_refrigerated_factory_set_stochastic_975009,ANALYSIS_CORE_bev_seed_975009,975009,bev,refrigerated_factory_set,local,local,reruns_bev_fix,local_backup,bev_extra_seed975000.tar.gz,local_run_bundles_backup.tar.gz,997.822480738079,1178.47630080082,15.33,15,17,76.6246,80.5209,TRUE,mirror_snapshot_mismatch
ANALYSIS_CORE_bev_refrigerated_factory_set_stochastic_975010,ANALYSIS_CORE_bev_seed_975010,975010,bev,refrigerated_factory_set,local,local,reruns_bev_fix,local_backup,bev_extra_seed975000.tar.gz,local_run_bundles_backup.tar.gz,1715.16113357521,1917.25269396866,10.54,15,20,81.7319,81.5994,TRUE,mirror_snapshot_mismatch
