powertrain,product_type,origin_network,n_runs,mean_co2_kg,sd_co2_kg,p50_co2_kg,mean_co2_per_1000kcal,mean_distance,mean_trip_h,mean_charge_stops,mean_energy_kwh,mean_co2_tru,source
bev,refrigerated,dry_factory_set,11120,766.7105,891.883,157.0703,0.01884392,695.3122,38.1296,6.1645,1774.6578,73.212,LOCAL
bev,dry,dry_factory_set,10248,490.4525,690.136,143.1117,0.00799089,492.8683,23.7893,3.5423,1136.2965,0,LOCAL
bev,refrigerated,refrigerated_factory_set,11120,791.8132,925.6339,158.027,0.01946089,718.0482,30.1445,6.1756,1832.7661,75.6175,LOCAL
bev,dry,refrigerated_factory_set,10248,504.6998,716.6304,143.6058,0.00822311,507.1688,19.6325,3.4706,1169.3532,0,LOCAL
diesel,refrigerated,dry_factory_set,8365,1204.1708,774.8524,1019.2176,0.02959771,679.6005,13.9932,0,0,125.7449,LOCAL
diesel,dry,dry_factory_set,8485,1223.7704,930.8492,908.2876,0.01993975,734.9212,15.2022,0,0,0,LOCAL
diesel,refrigerated,refrigerated_factory_set,8365,1222.478,851.9189,1020.4515,0.03004762,683.8955,14.0836,0,0,126.5287,LOCAL
diesel,dry,refrigerated_factory_set,8485,1234.4411,958.4222,909.2627,0.02011368,742.2375,15.347,0,0,0,LOCAL
bev,refrigerated,dry_factory_set,15080,546.7038,782.3729,143.0976,0.01343037,495.5454,25.7399,4.026,1264.3487,52.2148,GCS
bev,dry,dry_factory_set,4788,1025.0393,842.8502,1201.8801,0.01671324,1029.6587,55.1392,8.8239,2375.9188,0,GCS
bev,refrigerated,refrigerated_factory_set,15080,563.4162,811.9984,144.2261,0.01384093,510.6609,20.5469,4.0334,1303.0069,53.8199,GCS
bev,dry,refrigerated_factory_set,4788,1059.9757,875.0859,1245.0396,0.01728296,1064.7403,44.7752,8.6429,2456.922,0,GCS
diesel,refrigerated,dry_factory_set,11737,1060.8789,396.1896,1014.1387,0.02606868,631.78,12.9724,0,0,116.9194,GCS
diesel,dry,dry_factory_set,3482,1614.3949,1273.959,928.8252,0.02630332,878.3519,18.2839,0,0,0,GCS
diesel,refrigerated,refrigerated_factory_set,11737,1066.8329,438.503,1015.7034,0.02621612,633.4609,13.0032,0,0,117.2294,GCS
diesel,dry,refrigerated_factory_set,3482,1636.5503,1311.9272,931.1996,0.02666454,893.5378,18.5924,0,0,0,GCS
