stage,stage_status,n_rows,n_real_rows,n_placeholder_rows,pct_real_dataset_key,unit,n_runs,p05,p50,p95
distribution,COMPLETE,480,480,0,100,gal,80,0,0,0
distribution,COMPLETE,480,480,0,100,h,80,0.0036720344370187,0.00422075707433827,0.0049317380632083
distribution,COMPLETE,480,480,0,100,kWh,80,0.00515453185238939,0.00560881401845112,0.00645012890841067
ingredients,PLACEHOLDER,80,0,80,0,,,,,
manufacturing,PLACEHOLDER,160,0,160,0,,,,,
packaging,PLACEHOLDER,80,0,80,0,,,,,
retail_storage,PLACEHOLDER,80,0,80,0,,,,,
household_storage,PLACEHOLDER,80,0,80,0,,,,,
eol,PLACEHOLDER,80,0,80,0,,,,,
distribution,COMPLETE,480,480,0,100,gal,80,0.00143507687813744,0.00168466203899537,0.00203452937996514
distribution,COMPLETE,480,480,0,100,h,80,0.0251707739675729,0.0274564776734601,0.0316004184983201
distribution,COMPLETE,480,480,0,100,kWh,80,0,0,0
ingredients,PLACEHOLDER,80,0,80,0,,,,,
manufacturing,PLACEHOLDER,160,0,160,0,,,,,
packaging,PLACEHOLDER,80,0,80,0,,,,,
retail_storage,PLACEHOLDER,80,0,80,0,,,,,
household_storage,PLACEHOLDER,80,0,80,0,,,,,
eol,PLACEHOLDER,80,0,80,0,,,,,
distribution,COMPLETE,480,480,0,100,gal,80,0,0,0
distribution,COMPLETE,480,480,0,100,h,80,0.0144879775687635,0.0328375080669696,0.0445210088927396
distribution,COMPLETE,480,480,0,100,kWh,80,0.0215634221645482,0.0457786739004183,0.0596369231267173
ingredients,PLACEHOLDER,80,0,80,0,,,,,
manufacturing,PLACEHOLDER,160,0,160,0,,,,,
packaging,PLACEHOLDER,80,0,80,0,,,,,
retail_storage,PLACEHOLDER,80,0,80,0,,,,,
household_storage,PLACEHOLDER,80,0,80,0,,,,,
eol,PLACEHOLDER,80,0,80,0,,,,,
distribution,COMPLETE,480,480,0,100,gal,80,0.00754382984934669,0.0150242587244785,0.0211902484846997
distribution,COMPLETE,480,480,0,100,h,80,0.107124203134135,0.230938340942986,0.292704092304135
distribution,COMPLETE,480,480,0,100,kWh,80,0,0,0
ingredients,PLACEHOLDER,80,0,80,0,,,,,
manufacturing,PLACEHOLDER,160,0,160,0,,,,,
packaging,PLACEHOLDER,80,0,80,0,,,,,
retail_storage,PLACEHOLDER,80,0,80,0,,,,,
household_storage,PLACEHOLDER,80,0,80,0,,,,,
eol,PLACEHOLDER,80,0,80,0,,,,,
