"origin_id","dest_id","tons","ton_miles","distance_miles","commodity_group","scenario_id"
"190","190",216451.385838,32765.909669,74.8486482959064,"food_sctg_01_08","CENTRALIZED"
"319","319",140704.285346,23190.609785,74.9545680848719,"food_sctg_01_08","CENTRALIZED"
"179","179",108856.714844,16939.21438,74.3632752269869,"food_sctg_01_08","CENTRALIZED"
"279","279",86755.469089,16020.887137,75.0262259408414,"food_sctg_01_08","CENTRALIZED"
"489","489",64255.229683,15436.641068,120.821216911453,"food_sctg_01_08","CENTRALIZED"
"380","380",65758.093709,12290.496307,75,"food_sctg_01_08","CENTRALIZED"
"460","460",61978.021917,10219.628371,74.7800401210246,"food_sctg_01_08","CENTRALIZED"
"209","209",47900.113207,8938.131561,75,"food_sctg_01_08","CENTRALIZED"
"069","069",46803.38991,7887.854096,80.5428511460144,"food_sctg_01_08","CENTRALIZED"
"559","559",55775.165931,7521.294635,73.9966247358326,"food_sctg_01_08","CENTRALIZED"
"299","299",41678.178749,7029.947139,75,"food_sctg_01_08","CENTRALIZED"
"190","279",20999.791345,6853.81149,157.701657819734,"food_sctg_01_08","CENTRALIZED"
"160","160",37215.836554,6517.556469,86.8615069665162,"food_sctg_01_08","CENTRALIZED"
"122","129",19185.077662,5855.792878,163.113722883089,"food_sctg_01_08","CENTRALIZED"
"050","050",40947.7833,5678.260227,74.5356459405704,"food_sctg_01_08","CENTRALIZED"
"539","539",30298.513859,5172.311331,75,"food_sctg_01_08","CENTRALIZED"
"189","189",36454.10207,4865.6353,74.765540966183,"food_sctg_01_08","CENTRALIZED"
"179","172",27616.17457,4616.22201,75.0000075463022,"food_sctg_01_08","CENTRALIZED"
"229","223",21342.666389,4560.634877,75,"food_sctg_01_08","CENTRALIZED"
"379","379",27176.719401,4040.682091,73.6298107030303,"food_sctg_01_08","CENTRALIZED"
"129","129",21855.814408,4005.451798,75.1361548530953,"food_sctg_01_08","CENTRALIZED"
"269","269",23246.960736,3630.30179,75,"food_sctg_01_08","CENTRALIZED"
"179","171",20017.377175,3579.040767,75,"food_sctg_01_08","CENTRALIZED"
"089","089",16464.529518,3531.591048,75,"food_sctg_01_08","CENTRALIZED"
"399","399",24945.940237,3156.117165,73.7295483073036,"food_sctg_01_08","CENTRALIZED"
"279","271",18530.538419,2777.396894,75,"food_sctg_01_08","CENTRALIZED"
"280","280",20793.440334,2758.624336,73.9397133256515,"food_sctg_01_08","CENTRALIZED"
"139","139",19778.398691,2582.791261,73.0991564566292,"food_sctg_01_08","CENTRALIZED"
"429","429",21604.931034,2430.84105,73.6671740004778,"food_sctg_01_08","CENTRALIZED"
"219","219",17292.048369,2396.24931,73.8489517941852,"food_sctg_01_08","CENTRALIZED"
"271","279",13461.376588,2280.463333,75.0118757690905,"food_sctg_01_08","CENTRALIZED"
"229","221",13878.779017,2150.948966,75,"food_sctg_01_08","CENTRALIZED"
"279","380",5489.882231,2140.93389,170.921126126613,"food_sctg_01_08","CENTRALIZED"
"019","019",14937.617536,2064.268519,72.9009118338696,"food_sctg_01_08","CENTRALIZED"
"300","160",4718.904139,2011.959803,176.452859392362,"food_sctg_01_08","CENTRALIZED"
"069","061",8693.927863,2011.530989,108.592743418419,"food_sctg_01_08","CENTRALIZED"
"460","319",5995.66112,1920.337752,170.816255622533,"food_sctg_01_08","CENTRALIZED"
"171","179",8958.773518,1887.310043,75,"food_sctg_01_08","CENTRALIZED"
"460","380",5363.144828,1859.016576,175,"food_sctg_01_08","CENTRALIZED"
"460","190",5079.837248,1841.778049,166.770703792438,"food_sctg_01_08","CENTRALIZED"
