"zone_id","name","lat","lon"
"019","Remainder of Alabama",32.5901,-86.7509
"020","Alaska",49.25,-127.25
"041","Phoenix-Mesa-Scottsdale, AZ CFS Area",34.2192,-111.625
"042","Tucson-Nogales, AZ CFS Area",34.2192,-111.625
"049","Remainder of Arizona",34.2192,-111.625
"050","Arkansas",34.7336,-92.2992
"061","Los Angeles-Long Beach, CA CFS Area",36.5341,-119.773
"062","Sacramento-Roseville, CA CFS Area",36.5341,-119.773
"063","San Diego-Carlsbad, CA CFS Area",36.5341,-119.773
"064","San Jose-San Francisco-Oakland, CA CFS Area",36.5341,-119.773
"065","Fresno-Madera, CA CFS Area",36.5341,-119.773
"069","Remainder of California",36.5341,-119.773
"081","Denver-Aurora, CO CFS Area",38.6777,-105.513
"089","Remainder of Colorado",38.6777,-105.513
"122","Miami-Fort Lauderdale-Port St. Lucie, FL CFS Area",27.8744,-81.685
"123","Orlando-Deltona-Daytona Beach, FL CFS Area",27.8744,-81.685
"124","Tampa-St. Petersburg-Clearwater, FL CFS Area",27.8744,-81.685
"129","Remainder of Florida",27.8744,-81.685
"131","Atlanta-Athens-Clarke County-Sandy Springs, GA CFS Area",32.3329,-83.3736
"132","Savannah-Hinesville-Statesboro, GA CFS Area",32.3329,-83.3736
"139","Remainder of Georgia",32.3329,-83.3736
"160","Idaho",43.5648,-113.93
"171","Chicago-Naperville, IL-IN-WI CFS Area (IL Part)",40.0495,-89.3776
"172","St. Louis-St. Charles-Farmington, MO-IL CFS Area (IL Part)",38.3347,-92.5137
"179","Remainder of Illinois",40.0495,-89.3776
"181","Chicago-Naperville, IL-IN-WI CFS Area (IN Part)",40.0495,-89.3776
"182","Indianapolis-Carmel-Muncie, IN CFS Area",40.0495,-86.0808
"183","Fort Wayne-Huntington-Auburn, IN CFS Area",40.0495,-86.0808
"189","Remainder of Indiana",40.0495,-86.0808
"190","Iowa",41.9358,-93.3714
"201","Kansas City-Overland Park-Kansas City, MO-KS CFS Area (KS Part)",38.3347,-92.5137
"202","Wichita-Arkansas City-Winfield, KS CFS Area",38.4204,-98.1156
"209","Remainder of Kansas",38.4204,-98.1156
"219","Remainder of Kentucky",37.3915,-84.7674
"221","Baton Rouge, LA CFS Area",30.6181,-92.2724
