origin_id,dest_id,road_distance_miles,road_duration_minutes,road_duration_minutes_static,status,error,generated_at_utc,api_provider,routing_preference
190,279,362.509196,338.200000,330.766667,OK,"",2026-03-15T08:27:07Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
122,129,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:08Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
179,172,252.867628,247.500000,249.883333,OK,"",2026-03-15T08:27:08Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
229,223,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""30s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:08Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
179,171,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:09Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
279,271,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:09Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
271,279,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:09Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
229,221,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""30s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:09Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
279,380,309.554079,290.716667,290.266667,OK,"",2026-03-15T08:27:10Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
300,160,520.459889,534.900000,535.400000,OK,"",2026-03-15T08:27:10Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
069,061,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:11Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
460,319,280.268855,285.800000,286.166667,OK,"",2026-03-15T08:27:11Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
171,179,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:11Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
460,380,273.478510,286.183333,288.216667,OK,"",2026-03-15T08:27:11Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
460,190,481.667064,445.766667,444.883333,OK,"",2026-03-15T08:27:12Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
269,559,516.281789,457.766667,464.333333,OK,"",2026-03-15T08:27:12Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
279,559,317.261567,306.666667,304.683333,OK,"",2026-03-15T08:27:13Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
486,489,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:13Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
061,261,2359.809960,2039.900000,2059.650000,OK,"",2026-03-15T08:27:13Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
489,484,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:15Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
380,271,308.367882,297.366667,288.316667,OK,"",2026-03-15T08:27:15Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
484,489,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:15Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
409,202,260.572009,227.533333,226.500000,OK,"",2026-03-15T08:27:15Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
311,319,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:16Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
160,300,520.177787,531.500000,530.566667,OK,"",2026-03-15T08:27:16Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
484,081,769.397345,706.483333,716.350000,OK,"",2026-03-15T08:27:16Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
190,179,314.452348,283.866667,283.650000,OK,"",2026-03-15T08:27:17Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
380,460,255.771917,283.816667,283.916667,OK,"",2026-03-15T08:27:17Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
269,183,263.420996,252.950000,251.933333,OK,"",2026-03-15T08:27:18Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
369,423,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:18Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
064,069,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:18Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
064,261,2359.809960,2039.900000,2059.650000,OK,"",2026-03-15T08:27:18Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
363,061,2848.215173,2479.683333,2494.483333,OK,"",2026-03-15T08:27:19Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
179,189,191.272345,191.766667,196.283333,OK,"",2026-03-15T08:27:21Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
209,311,261.983143,266.233333,269.833333,OK,"",2026-03-15T08:27:21Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
065,069,,,,ERROR_NO_DISTANCE,"{
  ""routes"": [
    {
      ""duration"": ""0s"",
      ""staticDuration"": ""0s""
    }
  ]
}",2026-03-15T08:27:21Z,google_routes_v2_shell_traffic,TRAFFIC_AWARE_OPTIMAL
