"scenario_id","variant_id","powertrain","trailer_type","refrigeration_mode","metric","mean","var","p05","p50","p95","source_path"
"AGGREGATE","aggregate",NA,NA,NA,"gco2_dry",2.90470828,2.01885054809944,0.163914447592068,2.75950779381443,5.91145070422535,"outputs/aggregate/results_summary.csv"
"AGGREGATE","aggregate",NA,NA,NA,"gco2_reefer",4.54380134,4.96515778261421,1.48946717076244,4.24092308228731,8.76023427620632,"outputs/aggregate/results_summary.csv"
"AGGREGATE","aggregate",NA,NA,NA,"diff_gco2",1.63909306,0.713316100659837,0.345154545454545,1.74594318181818,4.01389908256881,"outputs/aggregate/results_summary.csv"
"AGGREGATE","aggregate",NA,NA,NA,"ratio",1.56675232,0.00937740777461782,1.41187142857143,1.56125172413793,1.73303846153846,"outputs/aggregate/results_summary.csv"
"AGGREGATE","aggregate",NA,NA,NA,"diff_gco2_gt_zero",0.958445368805054,NA,NA,NA,NA,"outputs/aggregate/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","gco2_dry",2.42089049483541,1.35637394640933,NA,NA,NA,"outputs/check_bev/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","gco2_reefer",3.7924245141437,3.3958306561085,NA,NA,NA,"outputs/check_bev/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","diff_gco2",1.37153401930829,0.503177855154803,NA,NA,NA,"outputs/check_bev/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","ratio",1.56919103313774,0.0105401339188327,NA,NA,NA,"outputs/check_bev/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","gco2_dry",2.90805151562633,2.07704464182153,NA,NA,NA,"outputs/check_real_quick/CENTRALIZED_BEV_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","gco2_reefer",4.54012454804132,5.02303314357424,NA,NA,NA,"outputs/check_real_quick/CENTRALIZED_BEV_DRY/results_summary.csv"
"CENTRALIZED","CENTRALIZED_BEV_DRY","bev","dry_van","none","diff_gco2",1.63207303241499,0.707097386220824,NA,NA,NA,"outputs/check_real_quick/CENTRALIZED_BEV_DRY/results_summary.csv"
