powertrain,product_type,origin_network,n_runs,n_unique_pairs,mean_co2_kg_total,sd_co2_kg_total,p05_co2_kg,p50_co2_kg,p95_co2_kg,mean_co2_kg_propulsion,mean_co2_kg_tru,mean_co2_per_1000kcal,sd_co2_per_1000kcal,p05_co2_per_1000kcal,p50_co2_per_1000kcal,p95_co2_per_1000kcal,mean_protein_per_1000kcal,mean_co2_per_kg_protein,mean_co2_g_per_g_protein,mean_driving_time_h,mean_driver_driving_min,mean_driver_on_duty_min,mean_driver_off_duty_min,mean_trip_duration_total_h,mean_traffic_delay_h,mean_congestion_delay_h,mean_time_traffic_delay_min,mean_energy_kwh_propulsion,mean_energy_kwh_tru,mean_energy_kwh_total,mean_diesel_gal_propulsion,mean_diesel_gal_tru,mean_charge_stops,pct_with_charge_stops,mean_time_charging_min,mean_charging_or_refueling_h,mean_refuel_stops,mean_time_refuel_min,mean_distance_miles,mean_duration_minutes,mean_payload_lb,mean_load_fraction,mean_kcal_delivered
diesel,refrigerated,dry_factory_set,21634,21634,1014.62,76.51,893.39,1011.93,1145.57,900.46,114.16,0.04803,0.017572,0.027434,0.044188,0.082811,,0.4346,,12.54,758.8,855.4,600,12.65,0.11,0.41,6.4,0,0,0,88.37,11.2,0,0,0,0,0,0,616.4,1388.3,41998,1,23499425
diesel,dry,dry_factory_set,9425,9425,1215.95,920.25,785.8,909.51,3874.76,1215.95,0,0.02231,0.015747,0.0126,0.01539,0.063296,,0.6423,,14.9,902.7,1017.8,719.7,15.14,0.14,0.45,8.4,0,0,0,104.97,0,0,0,0,0.09,0.11,5.6,732,1663.9,42000,1,56736834
diesel,refrigerated,refrigerated_factory_set,21634,21634,1015.81,76.38,894.4,1013.13,1146.22,901.51,114.3,0.048085,0.017595,0.027422,0.04422,0.082916,,0.4351,,12.55,759.4,856.1,600,12.66,0.1,0.41,6.1,0,0,0,88.47,11.22,0,0,0,0,0,0,617.1,1388.2,41998,1,23499425
diesel,dry,refrigerated_factory_set,9425,9425,1226.51,947.48,787.42,910.64,3964.15,1226.51,0,0.022487,0.016155,0.012611,0.015399,0.064704,,0.6434,,15.05,911.2,1026.4,726.1,15.28,0.13,0.44,8.1,0,0,0,106,0,0,0,0,0.09,0.11,5.6,739.2,1678.2,42000,1,56736834
bev,dry,dry_factory_set,6227,6227,1707.35,428.95,1043.95,1667.98,2451.7,1707.35,0,0.027845,0.007349,0.016942,0.027091,0.04113,,,,34.93,2113.8,5845.2,2751.4,95.03,0.3,0.61,17.8,3953.5,0,3953.5,0,0,15.53,100,3292.5,59.8,0,0,1712.2,8468.6,41995,1,61605400
bev,dry,refrigerated_factory_set,6227,6227,1768.66,444.35,1081.44,1727.88,2539.74,1768.66,0,0.028844,0.007613,0.01755,0.028063,0.042607,,,,36.19,2190.1,4752.7,2911,76.79,0.31,0.62,18.9,4095.5,0,4095.5,0,0,15.22,100,2126.4,40.29,0,0,1773.7,7535.5,41995,1,61605400
bev,refrigerated,dry_factory_set,52,52,1912.58,496.52,1129.33,1794.9,2664.8,1725.65,186.93,0.046814,0.014259,0.027284,0.044926,0.072597,,,,34.55,2087.5,6282.6,3103.8,102.52,0.24,0.57,14.3,3973.6,431.1,4404.7,0,0,17.13,100,3724.6,67.73,0,0,1712.2,9257.2,41903,1,41479952
bev,refrigerated,refrigerated_factory_set,52,52,1981.18,514.23,1169.27,1859.82,2757.01,1787.62,193.56,0.048493,0.014766,0.028285,0.046502,0.075123,,,,35.79,2160.6,4874.2,3011.5,79.04,0.22,0.54,13,4116.3,446.5,4562.7,0,0,17.19,100,2239.2,43.03,0,0,1773.7,7756.3,41903,1,41479952
bev,dry,factory_kansas_hills,80,80,1833.37,442.07,1130.64,1750.09,2553.02,1743.64,89.73,0.045717,0.017934,0.024545,0.04235,0.07829,0.0624,0.7439,0.7439,35.31,2135.9,5895.3,2805,95.77,0.29,0.59,17.3,3848,201.1,4049.1,0,0,15.85,100,3312.4,60.17,0,0,1712.2,8567.6,42212,1,43381151
bev,refrigerated,factory_kansas_hills,80,80,1833.33,442.03,1130.64,1750.09,2552.21,1743.64,89.69,0.220122,0.129824,0.092645,0.169225,0.46164,0.1159,1.9378,1.9378,35.31,2135.8,5886.2,2872.5,95.61,0.29,0.59,17.2,3848,201,4049,0,0,15.85,100,3303.1,60.01,0,0,1712.2,8626,42212,1,10309380
diesel,dry,factory_kansas_hills,80,80,4217.02,586.84,3700.32,4079.19,5865.39,4061.12,155.91,0.109695,0.054947,0.071035,0.088385,0.208243,0.0624,1.7666,1.7666,35.31,2139.4,2421.6,1770,36.65,0.35,0.65,20.8,0,0,0,249.49,15.3,0,0,0,0.99,1.1,59.5,1712.2,4058.9,42212,1,43381151
diesel,refrigerated,factory_kansas_hills,80,80,4217.18,586.85,3700.32,4079.19,5862.04,4061.16,156.02,0.499331,0.240912,0.228357,0.453923,0.946064,0.1159,4.3665,4.3665,35.31,2138.8,2420.5,1755,36.63,0.34,0.64,20.2,0,0,0,249.49,15.31,0,0,0,0.98,1.1,59,1712.2,4042.8,42212,1,10309380
bev,dry,factory_texas_freshpet,80,80,1906.7,461.67,1172.79,1814.76,2662.49,1813.6,93.1,0.047506,0.018534,0.025622,0.043867,0.081067,0.0624,0.7736,0.7736,36.72,2223.1,6371.2,3412.5,103.71,0.34,0.64,20.2,4001.4,208.5,4209.9,0,0,16.27,100,3679,66.66,0,0,1780.4,9650.8,42212,1,43381151
